Title,hoax,prediction
DPR Ingatkan Jokowi Lantik Anggota KPU-Bawaslu Sebelum 11 April 2022,0,0
"Dasco Akui Simpan Surat Perjanjian Politik Prabowo, Anies, dan Sandi",0,0
DPR-Pemerintah-KPU Sepakat Honor Petugas TPS Naik 3 Kali Lipat,0,0
Kepala Otorita IKN Bakal Berkantor di Jakarta dan Balikpapan Setelah Dilantik,0,0
Pendekatan Represif di Desa Wadas Dicap Tak Sejalan Program Kapolri,0,0
"Riza Patria: Pemecatan Taufik Baru Rekomendasi, Keputusan di DPP",0,0
"Melalui Akun Twitter, Politisi PSI Tsamara Amany Sebut TKN dan BPN Sama-sama Temukan Kecurangan, KPU dan Bawaslu yang Salah",1,0
PKS: Pasal Kebal Hukum Perppu Covid Bermasalah Sejak Awal,0,0
DPR Resmi Sahkan Tiga RUU DOB Papua Hari Ini,0,0
"Jokowi Rencanakan ""Reshuffle"" Kabinet, Pengamat Nilai Ada Ketegangan Politik",0,0
Dua Tersangka Politik Uang Pilkada Mamasa Resmi Ditahan Polisi,0,0
Survei Charta Politika: Deklarasi Anies Baswedan Genjot Elektabilitas NasDem,0,0
BIN: Jangan Politisasi Kerusuhan Mako Brimob untuk Tujuan Politik...,0,0
"Ganjar Pranowo Nyatakan Siap Nyapres, PDIP Sebut Tak Langgar Aturan Partai",0,0
Komisi II DPR Wacanakan Revisi UU Desa Masuk Pembahasan Prioritas 2023,0,0
Saling Sindir PBNU-PA 212 Soal Politik Identitas hingga Kader Korupsi,0,0
"3 RUU DOB Papua Disepakati Komisi II DPR, Segera Disahkan di Paripurna",0,0
Video “Artis Dessi Ratnasari Meninggall Dunia! Tangiss Sang Anak Pecah Terungkap Penyebabnya”,1,1
Jokowi Hendak Minta Maaf kepada PKI/Keluarga PKI,1,0
Muhaimin Iskandar Minta Pemerintah Susun Skema Pendanaan Ibu Kota Negara,0,0
"Survei Sebut Elektabilitas Prabowo Stagnan, Gerindra: Masih Top of Table",0,0
"Foto “Xavier Bettel Perdana Menteri Luxembourg datang ke sebuah acara dengan istri lelakinya, Gauthier Destenay (brewok pakai longdress)”",1,1
Perkembangan Chloroquine Untuk Obat COVID-19,1,1
(EDUKASI): Membedah Tulisan Alfian Tanjung yang Berjudul Manuver PKI Membelit Istana,1,1
KPU Resmi Luncurkan SIPOL Untuk Pemilu 2024,0,0
Pernyataan Dr. Ir. Hj. Sri Nurdiati “Panik karena masker sampai lupa Pentingnya Antibodi”,1,1
Permen Jeli yang Dibuat dengan Gelatin yang Berasal dari Kulit dan Tulang Hewan.,1,1
"Karier Politik Idrus Marham: Dari Sekjen, Menteri, hingga Tersangkut Kasus Korupsi",0,0
PPP Buka Peluang Usung Capres dari Non-Parpol,0,0
Pinjaman yang Diberikan China Development Bank Dikhawatirkan Menjadi Pintu Masuk Penguasaan China,1,1
Mahfud Minta Publik Tak Terprovokasi Manuver Politik Wabup Nduga,0,0
Akun WhatsApp Bupati Klaten Sri Mulyani,1,1
Mahasiswa Universitas Jenderal Sudirman Purwokerto Nyanyi Lagu Indonesia Raya di dalam Mesjid Nurul Alam,1,1
Pengumuman Jadwal Vaksinasi untuk Umum di Wilayah Jawa Barat Maret 2021 oleh Gubernur,1,1
"Diteriaki Jadi Gubernur Sumut, Ijeck Sindir Edy Rahmayadi",0,0
8 Badan Intelijen di Dunia dari BIN sampai Mossad,0,0
Peta Sebaran Covid-19 Wilayah Situbondo,1,1
SMS Lelang Online Pegadaian,1,1
Anggota TGUPP Tuding Kader PSI Sebar Hoaks Anies Bagi Baju Capres,0,0
Anggota Polres Yahukimo Papua Pegunungan Tewas Ditembak Orang Tak Dikenal,0,0
Kemenkes RI Adakan Bantuan Biaya STR Bagi Tenaga Kesehatan,1,0
PDIP-Gerindra Dinilai Sulit Koalisi Jika Puan Hanya Cawapres,0,0
"Dalam Politik, Kenapa Banyak Orang Sulit Mengubah Pendapat?",0,0
KPK Tahan Tersangka Dugaan Korupsi di PT Antam,0,1
Masinton soal Laporan ke MKD: Saya Tidak Tanggapi Laporan Sirkus Lawak,0,0
Sikap PDI-P soal 8 Parpol Tolak Sistem Pemilu Proporsional Tertutup,0,0
"Mahfud MD Akui Data Negara Bocor, Tapi Bukan Dokumen Rahasia",0,0
"Tak Punya e-KTP, MRP Khawatir Warga Papua Tak Bisa Ikut Pemilu 2024",0,0
"Senang Ada TWK, Demokrat Usul Tes Serupa di Polri-Kejagung",0,0
Nasdem Kritik Biaya Mahal Asrama Haji Pusat Karantina Jemaah Umrah,0,0
Mardiono Yakini Suharso Monoarfa akan Tetap Bersama PPP hingga Pemilu 2024,0,0
Anggota DPR Ingatkan Efek Domino Imbas Kenaikan Harga BBM,0,0
KPU Serahkan Data Terkait Pemilu 2019 kepada Pemerintah dan Partai Politik,0,0
SBY Singgung Pengangguran-Kemiskinan Drop di Kepemimpinannya,0,0
Italia Tidak Bisa Mengontrol Virus dan Mengucapkan Selamat Tinggal kepada Dunia,1,1
Politikus NasDem Sebut KIB Koalisi Ecek-ecek Sekoci Ganjar,0,0
Foto Korban Banjir dan Longsor di Tanjungpinang,1,1
Cara Mengecek Minyak Goreng Limbah,1,1
"Kata Perdana Pj Gubernur DKI Heru Budi: Saya Akan Kerja, Kerja, Kerja",0,0
Partai Berkarya Kubu Muchdi Gelar Munaslub Selesaikan Masalah Internal,0,0
Jokowi Bicarakan Lanskap Politik ke Depan dengan Agus Yudhoyono,0,0
"Tegas, ASEAN Tak Undang Tokoh Politik Myanmar dalam KTT",0,0
Akun Facebook Wali Kota Surabaya Eri Cahyadi Menawarkan Pinjaman Uang,1,1
Dasco Gerindra Sebut Ada yang Sebarkan Isu Prabowo Khianati Pendukung,0,0
PWNU Jawa Timur Anggap Pj Kepala Daerah dari TNI - Polri Aktif Preseden Buruk,0,0
"Temui Buya Syafii, Zulhas Sindir Pengaku Paling Pancasila",0,0
DPR Sentil Pemerintah: Pengiriman Pekerja Migran Ilegal Masih Terjadi,0,0
DKI Jakarta Anggarkan Proyek 80 Juta Per Sumur Resapan,1,0
Hasto Klaim Pertemuan Jokowi dan Elite Parpol Bahas Pandemi,0,0
"Berkunjung ke Ukraina, Presiden Jokowi Bawa Bantuan Kemanusiaan",0,0
Putusan Politik Mahkamah Konstitusi,0,0
“Pemerintah dengan asik duduk dikursi diskusi dan bilang…”,1,1
Bangunan yang Terbakar di Polda Metro Jaya Bukan Gudang Peluru,1,1
"JANGAN MENGKONSUMSI BAWANG YANG TELAH DIKUPAS, KARENA MENYERAP KUMAN DAN VIRUS DI UDARA",1,1
Klarifikasi KPK Terkait Foto Setya Novanto Tanpa Baju Tahanan,1,1
Survei LSJ Sebut Kepuasan terhadap Jokowi Turun Imbas Isu Tunda Pemilu,0,0
"DPR Belum Terima Nama Pengganti Lili Pintauli Siregar,  Bambang Pacul: Kami Tak Akan Kejar Presiden Jokowi",0,0
"Penerapan PSBB, Kota Depok Tutup Jalan",1,1
Gerindra Sebut Pengumuman Capres-Cawapres Koalisi KIR Diperkirakan Akhir atau Awal Tahun,0,0
Akun Palsu Mengatasnamakan TNI AD,1,1
"“Ibu Kota Pindah, Anies Bakal Jual Gedung Pemerintah Pusat”",1,1
"Masa Jabatan 101 Kepala Daerah Habis Tahun Ini, Hindari Kepentingan Politik Saat Pengisian Penjabat",0,0
Hindari ! Produk Ini Bisa Menyebabkan Usus Bocor,1,1
“ternyata si adik kecil ini sudah meninggal”,1,1
"PAN Setelah Amien Rais Dirikan Partai Ummat, Saiful Mujani: Jika Suara Pecah, Bisa Tak Lolos ke Senayan",0,0
PDIP Mau Gibran Ubah Solo Dahulu Sebelum Jadi Cagub DKI,0,0
"Gerindra Berharap Koalisi Besar, PDIP Terbuka untuk Reuni",0,0
Politikus Gerindra Anggap Nomor Urut Partai Hanya soal Teknis,0,0
KPU Gandeng KPK Tekan Praktik Politik Uang,0,0
"“jangan ke Kokas dulu ya, mall di lockdown karena salah satu staff diatas ada yang suspect Covid-19”",1,1
"Pengamat Politik Sebut Kondisi Ganjar dan Anies Mirip, tapi...",0,0
Virus Babi Hog Cholera Menular pada Manusia,1,1
“Narkoba Dikirim dari China Melalui Tiang Pancang Proyek Infrastruktur”,1,1
Hasil Rata-rata Survei Masyarakat Anti Fitnah Indonesia – Surabaya,1,1
"Revisi UU MD3 dan Pimpinan MPR, Potret Pragmatisnya Politisi Kita",0,0
Kota Cirebon Lockdown,1,1
Pakar: Setneg & Kemenkumham 'Rebutan Lahan' untuk Kontrol Permainan,0,0
"NasDem Deklarasi Anies Baswedan Capres 2024, PKS: Doakan Kami Segera Menyusul",0,0
Foto Prabowo Berpakaian Uskup di Gereja,1,1
Perludem: Daerah di Papua yang Beralih ke Sistem Noken karena Ada Pendidikan Politik,0,0
Video “Cara Ngebajak Wa Doi”,1,1
Iwan Fals Menyatakan Sudah Tidak Mendukung Pemerintah,1,1
"Eks Ketua MK Ingatkan Tito, Jokowi Tiga Periode Berisiko Pemakzulan",0,0
Video soal Tak Ada Lagi Tahlil dan NU Jadi Fosil Jika Jokowi-Ma’ruf Kalah,1,1
"Bertemu Jokowi di Istana, Pengamat Politik Sampaikan Hasil Survei",0,0
Demonstran Membakar Rumah Ayatollah Khomeini pada 22 November 2022,1,1
"Deklarasi IndonesiAnies, Teriakan Relawan Penuhi Ruangan",0,0
"Jika Tak Tunjuk Ketua DPR Bersih, Golkar Dinilai Bunuh Diri Politik",0,0
Larangan Takbiran di DKI Jakarta,1,1
Gambar Tangkapan Layar Artikel Kompas.com “Jokowi beri isyarat nempak nya akan mundur sehabis lebaran ini. Kegagalan membayar Utang dan kemarahan rakyat akibat kabinet nya gagal kelola negara adalag Faktor utama nya”,1,1
Tangkapan Layar “Liat bong Presiden lu kaya lagi mau ngambil gaji bulanan ke Bos Cina”,1,1
"Airlangga Hartarto: KIB Ibarat Outline, Capres-Cawapres di Kesimpulan",0,0
"Resmi Jadi Pj Gubernur DKI, Heru Budi Hartono: Padat, Satu Minggu ke Depan Keliling Terus",0,0
Video “Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki”,1,1
“Ada kemungkinan bisa menyebabkan sunami besar atau bencana langit.”,1,1
Akal Sehat Kader PDIP Jungkir Balik di Kasus Penembakan Brigadir J,0,0
Gubernur Provinsi Papua Meninggal Dunia,1,1
Musra Tampung Aspirasi Soal Pasangan Capres-Cawapres Pilihan,0,0
Megawati dan Ganjar Duduk Berdampingan Hadiri Pelantikan Wali Kota Semarang,0,0
“Jackie Chan Dikabarkan Dikarantina Karena Terinfeksi Corona”,1,1
Airlangga Hartarto Bertemu Ketua Umum PPP dan PAN di Menteng,0,0
"“Donald Trump Jalin Kerjasama dengan Hary Tanoe, MNC Group Akan Jadi “Alat Propaganda” Islam”",1,1
Ledakan Dahsyat di Beirut Diragukan Dapat Menjadi Katalisator Perubahan Politik Lebanon,0,0
3 Hal Ini Dinilai Jadi Masalah Utama Partai Politik,0,0
Tiga Poros di Pilpres 2024 Dinilai Tak Jamin Hilangkan Polarisasi,0,0
"Puan Bertemu Presiden Vietnam, Apresiasi Kesepakatan Garis Batas ZEE",0,0
"Ambisi Cak Imin Jadi Capres, antara Guyon Politik dan Elektabilitas Minim",0,0
"Sumbangan oleh Sekda Kabupaten Kuningan, Dian Rachmat Yanuar",1,1
Akun Peringatan Pemblokiran oleh Facebook,1,1
"Soal Calon Wapres Pendampingnya, Prabowo: Pada Saatnya Pasti Pengumuman",0,0
Foto “Munarman udah divaksin”,1,1
Waketum PAN Sebut Dugaan Mahar Politik Sandiaga Isu Basi,0,0
MPR dan Wantimpres Bahas Wacana Kembalikan Pilkada Lewat DPRD,0,0
Retrogresi Politik Kebangsaan,0,0
Moeldoko Tak Masalah Syarat Tinggi Calon Taruna TNI Jadi Lebih Pendek,0,0
Pengacara Rizieq Sebut Darurat Kebohongan Bukan Ditujukan ke Jokowi,0,1
Photo Shows Israeli Soldiers Killing A Palestinian Child,1,1
Video Ribuan Ikan Datangi Pantai Gaza,1,1
Puan Maharani Kukuh Mau Pemilu-Pilpres Tetap di 2024,0,0
Jawaban Akhir Raffi Ahmad soal Kemungkinan Terjun ke Politik,0,0
Pengamat Politik Anggap BLT Minyak Goreng Bentuk Kekalahan Negara oleh Mafia,0,0
"Top Nasional: Bansos Covid-19 Dikubur, Pemilih Nasdem, PAN dan PPP Tak Puas Kinerja Jokowi",0,0
Jokowi Minta Presiden IOC dan FIFA Bicara di Depan Pemimpin G20,0,0
Cawapres Agamis atau Luar Jawa agar Prabowo Tidak Kalah Lagi,0,0
NasDem Harap Anies Pilih Cawapres Nonparpol,0,0
"PKB Klaim Reshuffle usai Lebaran, NasDem Sindir Isu Diulang-ulang",0,0
"Nasakom, Konsep Kesatuan Politik ala Soekarno",0,0
"MUNCUL ISU WALI KOTA DEPOK BAKAL DIPERIKSA TERKAIT DUGAAN IJAZAH PALSU, KEPOLISIAN BERI BANTAHAN",1,1
Surat Undangan Seminar Budaya Mutu Oleh Ditjen Belmawa Kemendikbudristek,1,1
"Soal Peluang Koalisi dengan Gerindra di Pilpres 2024, PDIP Masih Enggan Jawab",0,0
Uang Rupiah Baru Bertandatangan Menteri Keuangan,1,1
Indonesia di Tengah Pusaran Arus Informasi,1,1
“Perbaikan Sistem Tiket Elektronik Commuterline Dilakukan Selama 14 Hari”,1,1
Bawaslu Tentukan Nasib Laporan Tabloid Anies Baswedan Jumat,0,0
"Soal Syarat PCR, DPR Minta Pemerintah Teliti soal Kebijakan",0,0
Hasil Musra Relawan Jokowi di Sumbar: Prabowo Capres Terfavorit,0,0
"Tolak Kenaikan Harga BBM, Mahasiswa Blokade Sejumlah Titik Jalan di Makassar",0,0
Menghirup Uap Panas Teh Herbal Dapat Mencegah dan Menyembuhkan COVID-19,1,1
"Profil Marsekal Muda TNI Taspin Hasan, Komandan Pasukan Elite Kopasgat TNI AU",0,0
"Bahas Islam dan Jokowi, Zulhas Soroti Posisi Mahfud-Muhadjir",0,0
Hidayat Minta Kejagung Usut Dugaan Perusahaan Sawit Sponsori Penundaan Pemilu,0,0
Ibas Demokrat: Pemerintah Terlihat Tak Berdaya Hadapi Covid,0,0
"Soal Usulan Muhaimin Iskandar agar Gubernur Dihapus, Gibran: Fungsinya Krusial",0,0
"Masinton Desak Reshuffle, Sindir Menteri Cuma Satu dan Kebelet Capres",0,0
“BAND GIGI FOR PRABOWO SANDI”,1,1
"Eks Pegawai KPK Berniat Bentuk Parpol, PKP Siapkan Karpet Merah",0,0
Megawati Keluarkan 7 Perintah untuk Kader PDIP,0,0
Bawaslu Tambah Politik Uang dan Politik Identitas Jadi Indikator Kerawanan Pemilu,0,0
Tidak Ada Pesawat yang Tenggelam Seperti Terlihat di Google Maps,1,1
Megawati ke Kader: Tak Siap Menangkan PDIP Silakan Mundur,0,0
Kemendagri Bantah Ada Utusan Jokowi ke Demokrat Bahas Pengisian Wagub Papua,0,0
Pesan Berantai “Sebuah peringatan !! Sekarang ada yang baru dan sedang terjadi. Orang datang dari pintu ke pintu dan membagikan masker”,1,1
"Jumpa Golkar, Nasdem Sebut Bicarakan Pihak Mau Mundurkan Demokrasi",0,0
Gerindra Sebut Puan-Prabowo Bakal Gelar Pertemuan di Hambalang 4 September,0,0
Seluruh Objek Wisata di Kabupaten Pangandaran Telah Dibuka Kembali,1,1
Baznas Pasang Spanduk Menolak Tempat Perayaan Natal Selain Gereja,1,1
"Hal Substansif Sulit Disampaikan, Timses Dinilai Lebih Pilih Isu Remeh",0,0
"Jokowi Baru Tahu Gaji Kepala Desa Dirapel 3 Bulan, Janji Dibayar Setiap Bulan",0,0
Pegawai PLN Meninggal Tersengat Listrik dari Telepon Genggam Miliknya Yang Sedang Mengisi Baterai,1,1
PPP Dorong Alokasi Dana Abadi Pendidikan untuk Pesantren,0,0
Peta Sementara Usulan Amendemen PPHN di MPR RI,0,0
Foto di cuitan “Saudari kita ini…” oleh @pedjoeang_islam,1,1
Raja: Malaysia Tidak Perlu Berlakukan Keadaan Darurat di Tengah Lonjakan Kasus Covid-19,0,1
"Peluang PDIP Merapat ke Gerindra, PKB: Asal Jangan Mengubah yang Sudah Ada",0,0
TGPF Sebut Kasus Penyerangan Novel Baswedan Diduga Berlatar Belakang Politik,0,0
DPR Buka Kemungkinan Bahas RUU Papua Barat Daya saat Reses,0,0
“Sore Tadi Para Dayak Berbondong2 Ke Jakarta”,1,1
PPP Satu-satunya Partai Petahana yang Kocok Ulang Nomor Urut Parpol,0,0
"Pengamat Nilai jika AHY Dikudeta, SBY Bisa Terlempar dari Demokrat",0,0
Video Tabrakan Mobil Wamenhan di Terminal 3 Bandara Soekarno Hatta,1,1
"Kata Mardani, Gerakan #2019GantiPresiden Pendidikan Politik",0,0
Jaksa KPK Tuntut Pencabutan Hak Politik Wali Kota Kendari dan Ayahnya,0,0
Ekstrak Nanas Bisa Dijadikan Obat Virus Corona,1,1
"Selain Biaya Ganti Gorden, ini Anggaran DPR Miliar-miliaran yang Diprotes Publik",0,0
"Beredar Foto Surya Paloh, Syaikhu, JK Bersama Anies Baswedan dan AHY",0,0
"Sekjen Gerindra: Prabowo Capres Tunggal, yang Lain Ilegal",0,0
"Usai Bertemu Airlangga, Puan Akan Safari Politik ke PPP dan PAN",0,0
Jokowi Cerita Kebingungannya di Awal Pandemi Covid-19 hingga Tolak Lockdown,0,0
Demokrat Sebut Deklarasi Koalisi Menunggu Konsensus,0,0
Moeldoko Jawab Kritik LSM soal Andika Calon Panglima TNI,0,0
"FPI Ikut Muhammadiyah, Mulai 1 Ramadan 1443 H Hari Ini",0,0
Foto “Bocah Meninggal Gantung Diri Usai Handphonenya Disembunyikan Orang Tuanya”,1,1
Anies Minta DPRD Tentukan Tarif MRT Tanpa Unsur Politik,0,0
"Akan Ada Gempa Lebih Besar dan Tsunami, BMKG Minta Masyarakat Keluar dari Mamuju",1,0
Surya Paloh Tunggu Jokowi Bilang Pilpres 2024 Jatah Anies Baswedan,0,0
"Welcoming Dinner G20, Jokowi Jelaskan Makna GWK ke Kepala Negara",0,0
"Kepala Desa Deklarasi Jokowi 3 Periode, Ngabalin: Biarin, Sikap Presiden Jelas",0,0
UPDATE 3 Agustus: 48 Partai Politik Terima Akses Sipol KPU,0,0
"Ganjar-Puan Kompak di Acara Jalan Sehat Menuju 1 Abad NU, Yenny Wahid: Elite Politik Akrab, Masyarakat Senang",0,0
Surya Paloh Sebut Tidak Ada Alasan Jokowi Melakukan Reshuffle Kabinet,0,0
Informasi Lowongan Kerja di Rumah Sakit Islam Jombang,1,1
COVID-19 Sudah Sampai Purwakarta,1,1
"Ditanya Soal Evaluasi Menteri, Bahlil: Sesama Sopir Angkot Dilarang Saling Mendahului",0,0
"Meski Diunggulkan Relawan Jokowi, Sandiaga Dianggap Sulit Maju Capres 2024",0,0
Teori Konspirasi dari Akun Instagram @indonesian_flatearth_society Tentang Imunisasi,1,1
Foto “Inilah Makam Nabi Muhammad Saw di masjid Nabawi”,1,1
DPR Cecar Mahfud soal Kompolnas Jadi Jubir Polres Jaksel Terkait Sambo,0,0
Anies Baswedan Reuni dengan Relawan TurunTangan yang Mendukungnya Sejak 2013,0,1
(DISINFORMASI): Kapolda DKI Sebut Penyebab Penyerangan Novel Baswedan Karena Bisnis Hijab Online Sang Istri,1,1
"Tiba di Tanah Air, 80 WNI yang Tinggal di Ukraina Langsung Jalani Karantina",0,0
Survei Charta Politika: Gibran Rakabuming Calon Gubernur Jawa Tengah Terkuat,0,0
Jokowi Bakal Resmikan PLTA Poso dan Tol Manado-Bitung Besok,0,0
Foto “Kartu keluarga 2022”,1,1
"Hasil ""Quick Count"" Pileg 2019 Indikator: 9 Parpol Lolos ke Senayan",0,0
Bawaslu: Aktor Politik Uang Bergentayangan di Pantai Selatan Jatim,0,0
Juragan 99 Beberkan Sumber Kekayaannya,0,1
“Pantai di China”,1,1
Survei Voxpol: Anies Teratas Disusul Ganjar dan Prabowo,0,0
Respons Ganjar Usai Dipinang PSI Jadi Capres: Terima Kasih Bro & Sis,0,0
Pelaporan Bambang Pacul ke MKD DPR Disebut Salah Alamat,0,0
BPJS Indonesia Bagi Dana Bantuan dari Kantor Pusat,1,1
Cak Imin Sebut PKB dan Gerindra Tak Ingin Buru-buru Umumkan Pasangan Capres-Cawapres,0,0
PKS Temui Ketua Nasdem Surya Paloh Rabu Lusa,0,0
Parasit Hydra dalam vaksin Covid 19,1,1
"Patuh Perintah Ganjar, Relawan Tunda Deklarasi Dewan Kopral",0,0
Pencipta Lagu 2019 Ganti Presiden Keluar Gerindra karena Bukan Oposisi,0,0
[SALAH]: M. Romahurmuziy : Yang Naikkan BBM itu SPBU Jangan Salahkan Presiden yang Cinta Rakyat,1,1
Sejarah Partai Indonesia Raya (Parindra),0,0
DPR Akan Dialog Jika Pengusaha Menjerit Tolak Cuti Hamil 6 Bulan,0,0
NasDem Sebut Demokrat Tak Ngotot Sodorkan AHY Jadi Cawapres Anies,0,0
Klarifikasi Terkait Kasus Perusakan Kapel Santo Zakaria di Ogan Ilir,1,1
"Bicara Konflik Geopolitik, Jokowi: Multilateralisme Jalan Paling Efektif",0,0
Survei Indikator: 8 Partai Politik Terancam Gagal Lolos ke Senayan,0,0
"Komentar Gibran soal Politik, Dulu Pilih Jual Martabak Kini...",0,0
PDIP Beber Kriteria Sosok Pengganti Ganjar untuk Jadi Cagub Jateng,0,0
Kemendagri: Tahapan Pemilu 2024 Dimulai 14 Juni 2022,0,0
Politik Identitas Dikhawatirkan Terulang pada Pilkada 2018 dan Pemilu 2019,0,0
"Bawa Pesan Politik, Miss Myanmar Juara Kostum Nasional Miss Universe",0,0
Video “ini di PGC evakuasi pasien COVID 19”,1,1
"Usai Tumbang di Paripurna DPR, Kondisi Wakil Ketua Banggar Muhidin Masih Dipantau",0,0
"Soal Cawapres Anies Baswedan, Gus Choi NasDem: Pantas Dipertimbangkan dari Kalangan NU",0,0
"Usul Pilgub Ditiadakan, Muhaimin Iskandar: Melelahkan dan Tak Fungsional",0,0
"Tiba di DPP Golkar, Airlangga Bungkam Ditanya soal Azis",0,0
Seorang Kakek di Tulungagung Meninggal Karena Covid-19,1,1
PSI Sebut Banding Pemecatan Viani Limardi Ditolak Pengadilan,0,0
"Hubungan NU dan PKB Kian Panas Jelang Pemilu 2024, Ini Penyebabnya...",0,0
"Kasus Migor, Komisi VI DPR Panggil Mendag Lutfi Pekan Depan",0,0
“proses beras plastik”,1,1
Blak-blakan Andre Taulany Jelaskan Alasan Gagal Berpolitik dan Enggan Coba Lagi,0,0
Daftar 10 Kursi Kosong Wakil Menteri,0,0
“TKA Harus Nyaman Tinggal di Sini Dengan Gaji Tinggi”,1,1
“Begitu kejamnya Rezim ini”,1,1
"Anies Baswedan Bersiap Pilpres 2024, Terbentuk IndonesiAnies hingga Menawarkan Rekam Jejak",0,0
NOMOR PORSI HAJI KEBERANGKATAN TAHUN 2018 HINGGA 2030,1,1
Airlangga - Khofifah Didukung Komunitas Pengajian Maju ke Pilpres 2024,0,0
"Giring Sindir Formula E Belum Sukses, Minta Transparansi Dana",0,0
Prabowo Subianto Buka Peluang Koalisi Gerindra dengan PDIP Meski Sudah Bergandengan dengan PKB,0,0
Survei IPI: Mayoritas Responden Puas atas Kinerja Jokowi,0,0
"Andi Arief Singgung soal Kubu Hasto, PDIP: Jangan Coba-coba Memecah Belah",0,0
“yusuf kallah selingkuh dukung no 2 menyelamatkan diri dari Partai PKI”,1,1
“Anis sedang nyimak mendengarkan Keluhan Warganya yg Terdampak Utang”,1,1
"PKS Sentil Proyek Drone Elang Hitam Dihentikan, BRIN Buka Suara",0,0
“Baca Caption Pasti Cebong Gagal Fokus”,1,1
"Survei Capres Indekstat: Ganjar Teratas, Puan Masuk 5 Besar",0,0
Hasil Perhitungan Data Orang yang Sudah Divaksinasi Lebih Banyak Terpapar Varian Delta dan Peluang Kematian Lebih Tinggi,1,1
"Komisi I Perkirakan Uji Kelayakan Andika Perkasa 2,5 Jam",0,0
” VARRELL BRAMASTA DITANGKAP POLISI DENGAN KASUS KEKERASAN TERHADAP WARTAWAN”,1,1
PDIP Respons Niat Surya Paloh Bertemu Megawati: Kami Sangat Welcome,0,0
Gambar Denny Siregar Musuh Warga Tasikmalaya di Belakang Truk,1,1
Yaqut Cholil Qoumas: Agama Jangan Lagi Digunakan Jadi Alat Politik,0,0
Bupati Nduga Diculik TNI,1,1
Akbar Tandjung Sambut Baik Jika Ridwan Kamil Mau Gabung Golkar,0,0
Kantor Presiden Bank Dunia di Kesultanan Buton,1,1
PKB Ajak PKS-Demokrat Gabung Koalisi Bareng Gerindra di 2024,0,0
"IKN Tak Gelar Pilkada, KSP Klaim Punya Basis di UUD 1945",0,0
KemenpanRB Bakal Jatuhkan Sanksi Berat ke CPNS dan PPPK yang Mengundurkan Diri,0,0
Tulisan Ridwan Kamil : “NIAT BUSUK KUBU SEBELAH SEJAK 2014”,1,1
Foto “Penampakan sosok misterius Dibalik tembok china Yg membuat warga china ketakutan”,1,1
